author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
Руслан Гильнов;realtor;https://krasnogorsk.cian.ru/sale/flat/303034575/;Красногорск;4;16;2;59,9;13800000;2006;32 ;11 ;;бульвар Павшинский;Пенягино;
SV 1212;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/295123288/;Красногорск;21;26;1;30,0;6300000;2017;18 ;8 ;;бульвар Коснавтов;Опалиха;Изуудные хол
ID 17340485;unknown;https://krasnogorsk.cian.ru/sale/flat/307087992/;Красногорск;3;8;1;35,6;6500000;-1;18,5 ;8 ;; Алексеевская;Аникеевка;Опалиха Парк
Валерий  Никишкин;realtor;https://krasnogorsk.cian.ru/sale/flat/308313116/;Красногорск;16;18;2;54,0;7990000;2005;29 ;8,6 ;; Вилора Трифонова;Опалиха;
Салет Плюс;real_estate_agent;https://krasnoznamensk.cian.ru/sale/flat/305547695/;Краснознанск;4;18;2;60,0;10400000;2016;32,3 ;11,1 ;; Строителей;Апрелевка;Квартал Звездный
Светлана Сафронова;realtor;https://krasnoznamensk.cian.ru/sale/flat/298485147/;Краснознанск;7;17;3;77,9;14600000;2018;-1,0;12 ;; Строителей;Апрелевка;
Панора;real_estate_agent;https://krasnoznamensk.cian.ru/sale/flat/308629559/;Краснознанск;5;10;2;59,5;9300000;2004;34,7 ;8 ;; Строителей;Апрелевка;
Ксения Кутузова;realtor;https://krasnoznamensk.cian.ru/sale/flat/307710617/;Краснознанск;7;17;2;62,2;11700000;2013;33 ;12 ;; Строителей;Апрелевка;Квартал Звездный
Светлана Сафронова;realtor;https://krasnoznamensk.cian.ru/sale/flat/299332476/;Краснознанск;6;17;2;56,9;9250000;2008;-1,0;9 ;; Связистов;Крёкшино;
ID 121304008;homeowner;https://krasnoznamensk.cian.ru/sale/flat/306835023/;Краснознанск;2;10;2;57,0;8950000;2004;-1,0;7 ;; Строителей;Апрелевка;
Светлана Сафронова;realtor;https://krasnoznamensk.cian.ru/sale/flat/306433349/;Краснознанск;6;21;1;43,0;8300000;2014;-1,0;10 ;;Минская ;Крёкшино;
Светлана Сафронова;realtor;https://krasnoznamensk.cian.ru/sale/flat/306340235/;Краснознанск;6;17;5;124,0;25600000;2018;-1,0;10 ;; Строителей;Апрелевка;
ID 76521927;homeowner;https://krasnoznamensk.cian.ru/sale/flat/307875876/;Краснознанск;3;21;3;65,2;16300000;2014;48 ;15 ;;Минская ;Крёкшино;
Дтрий Чурков;realtor;https://krasnoznamensk.cian.ru/sale/flat/308792882/;Краснознанск;6;19;1;37,6;7350000;2016;11 ;17,1 ;;Советская ;Крёкшино;Косческая гавань
Светлана Санданова;realtor;https://krasnoznamensk.cian.ru/sale/flat/304198910/;Краснознанск;7;17;2;58,0;8600000;1992;33,9 ;10,1 ;; Победы;Крёкшино;
ID 86467963;homeowner;https://krasnoznamensk.cian.ru/sale/flat/269328136/;Краснознанск;7;17;1;40,1;7600000;2016;17 ;10,8 ;; Строителей;Апрелевка;Квартал Звездный
Ирина Хотникова;realtor;https://krasnoznamensk.cian.ru/sale/flat/299543404/;Краснознанск;6;9;3;64,7;8200000;1982;40,6 ;8,5 ;;Коольский бульвар;Крёкшино;
Ирина Воробьева;realtor;https://krasnoznamensk.cian.ru/sale/flat/308390586/;Краснознанск;17;18;1;40,2;9450000;2014;25 ;10 ;;Минская ;Крёкшино;
ID 21532703;realtor;https://krasnoznamensk.cian.ru/sale/flat/308793304/;Краснознанск;5;19;3;76,4;14700000;-1;-1,0;11,5 ;; Победы;Апрелевка;Молодая сея
Светлана Санданова;realtor;https://krasnoznamensk.cian.ru/sale/flat/300684545/;Краснознанск;8;9;3;62,4;8600000;1983;39,2 ;9,8 ;;проспект Мира;Крёкшино;
Агентство недвижисти Елены Апостоловой;real_estate_agent;https://krasnoznamensk.cian.ru/sale/flat/297028905/;Краснознанск;12;19;3;85,1;17000000;2012;-1,0;11 ;; Победы;Апрелевка;Молодая сея
ID 73374665;unknown;https://krasnoznamensk.cian.ru/sale/flat/305777653/;Краснознанск;17;17;3;96,0;18500000;-1;-1,0;-1,0;; Победы;Апрелевка;Косс
Арташин и партнеры;real_estate_agent;https://krasnoznamensk.cian.ru/sale/flat/308236842/;Краснознанск;4;17;3;69,0;10500000;2008;-1,0;18,1 ;; Связистов;Крёкшино;
Арташин и партнеры;real_estate_agent;https://krasnoznamensk.cian.ru/sale/flat/299126670/;Краснознанск;4;17;3;69,3;10500000;2009;33,4 ;18,1 ;; Связистов;Крёкшино;
ID 73374665;unknown;https://krasnoznamensk.cian.ru/sale/flat/307485107/;Краснознанск;5;5;1;276,0;4550000;1971;16 ;6 ;;проспект Мира;Крёкшино;
Наталья Танкевич;realtor;https://krasnoznamensk.cian.ru/sale/flat/306217634/;Краснознанск;4;17;2;60,0;11950000;-1;30 ;11 ;; Победы;Апрелевка;Молодая сея
Агентство недвижисти Елены Апостоловой;real_estate_agent;https://krasnoznamensk.cian.ru/sale/flat/297766619/;Краснознанск;14;17;2;69,9;10500000;2010;33 ;12 ;; Связистов;Крёкшино;
ID 29056416;realtor;https://krasnoznamensk.cian.ru/sale/flat/307677208/;Краснознанск;9;21;2;659,0;14900000;2014;35 ;18 ;;Минская ;Крёкшино;
Светлана Сафронова;realtor;https://krasnoznamensk.cian.ru/sale/flat/307657556/;Краснознанск;3;5;2;47,0;8300000;1979;-1,0;10 ;;Краснознанная ;Крёкшино;
Цитадель;real_estate_agent;https://kubinka.cian.ru/sale/flat/308891943/;Кубинка;2;5;2;41,8;4250000;1967;26,7 ;5,4 ;;;;
Sdelka Home;real_estate_agent;https://kubinka.cian.ru/sale/flat/307705146/;Кубинка;1;2;3;57,3;4990000;1968;40,5 ;6,7 ;Кубинка;Железнодорожная ;;
ID 92693527;homeowner;https://kubinka.cian.ru/sale/flat/308179006/;Кубинка;1;5;1;268,0;3300000;1964;-1,0;5,6 ;;;;
Наталья Афтентьева;realtor;https://kubinka.cian.ru/sale/flat/307814658/;Кубинка;4;5;1;31,0;4000000;-1;-1,0;7,6 ;;;;
Сергей Гузанов;realtor;https://likino-dulyovo.cian.ru/sale/flat/274180283/;Ликино-Дулёво;1;1;2;42,9;800000;1984;25,9 ;10,9 ;Ликино-Дулево;Центральная ;;
Новое Вре;real_estate_agent;https://likino-dulyovo.cian.ru/sale/flat/308552199/;Ликино-Дулёво;1;9;2;43,6;4900000;-1;27 ;6,5 ;Ликино-Дулево;1 Мая ;;
Диалог Риэлт;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308303447/;Люберцы;13;25;2;51,3;11000000;2020;27,4 ;10,6 ;; Весенняя;Лухновская;Люберецкий
ID 120054122;homeowner;https://lyubertsy.cian.ru/sale/flat/307103393/;Люберцы;7;17;2;67,5;10500000;2002;43,1 ;11 ;;Октябрьский проспект;Ухтокая;
1-й ДСК;developer;https://lyubertsy.cian.ru/sale/flat/306082374/;Люберцы;8;25;2;41,8;11611204;2024;23 ;5,3 ;; Рождественская;Люберцы;1-й Лернтовский
СОВКОМБАНК;official_representative;https://lyubertsy.cian.ru/sale/flat/308416128/;Люберцы;2;17;1;34,0;6800000;2017;13 ;11 ;; Кава;Некрасовка;
Антон Писаренко;realtor;https://lyubertsy.cian.ru/sale/flat/304857630/;Люберцы;1;3;2;43,7;5700000;1958;-1,0;6 ;;Инициативная ;Люберцы;
1-й ДСК;developer;https://lyubertsy.cian.ru/sale/flat/305886174/;Люберцы;5;25;1;33,8;9747650;2023;13,8 ;10,7 ;; Рождественская;Люберцы;1-й Лернтовский
МИРА;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/307150356/;Люберцы;1;5;1;36,0;4750000;-1;22 ;7 ;; Калараш;Люберцы;
МИЭЛЬ;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308836537/;Люберцы;2;3;2;49,1;5100000;-1;31 ;7 ;;;Панки;
1-й ДСК;developer;https://lyubertsy.cian.ru/sale/flat/307558624/;Люберцы;4;24;3;66,7;14920790;2023;35,1 ;13,5 ;; Рождественская;Люберцы;1-й Лернтовский
Салет Плюс Москва ЦАО;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/305976496/;Люберцы;11;17;3;75,0;10850000;2015;40 ;15 ;; Барыкина;Некрасовка;Люберцы 2015
Msk Estate;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308751357/;Люберцы;3;4;1;284,0;5680000;1938;10 ;2 ;;Октябрьский проспект;Панки;
Анна Дунина;realtor;https://lyubertsy.cian.ru/sale/flat/308487946/;Люберцы;2;17;1;32,0;5800000;2021;9 ;14 ;; Кава;Некрасовка;Люберцы
1-й ДСК;developer;https://lyubertsy.cian.ru/sale/flat/305886057/;Люберцы;20;25;1;246,0;8420580;2022;11,3 ;-1,0;; Рождественская;Люберцы;1-й Лернтовский
HOME-REALTY;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/305954378/;Люберцы;2;5;2;43,6;6070000;1964;27 ;6,7 ;; Мира;Люберцы;
1-й ДСК;developer;https://lyubertsy.cian.ru/sale/flat/305886264/;Люберцы;18;25;4;83,7;16376742;2022;54,9 ;6,1 ;; Рождественская;Люберцы;1-й Лернтовский
Villagio Realty;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308414654/;Люберцы;1;14;4;92,0;12950000;-1;64 ;11 ;;Коольский проспект;Некрасовка;
EstateLiga;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308609806/;Люберцы;5;17;3;75,0;10800000;2015;45 ;13 ;; Барыкина;Некрасовка;Люберцы 2015
CENTURY 21 Перспектива;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308094762/;Люберцы;20;22;1;37,8;9000000;2014;20 ;9,6 ;; Кирова;Жулебино;Ареал
Тройка РЭД;developer;https://lyubertsy.cian.ru/sale/flat/290784018/;Люберцы;17;25;1;36,9;10867271;2023;-1,0;12,2 ;; Солнечная;Некрасовка;Облака 2
Денис Баблоян;realtor;https://lyubertsy.cian.ru/sale/flat/287718226/;Люберцы;2;5;2;44,2;5600000;1966;27 ;6 ;; Коснавтов;Панки;
CENTURY 21 Перспектива;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308457732/;Люберцы;3;17;3;80,6;14950000;2015;42 ;10 ;;Новая ;Ухтокая;Дона Зеленой
Бест офис на Таганской;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/307939069/;Люберцы;13;19;1;275,0;5700000;-1;15 ;6 ;; Рождественская;Люберцы;1-й Лернтовский
CENTURY 21 Перспектива;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/305733694/;Люберцы;3;17;1;37,3;6999000;2017;-1,0;17,3 ;; Вертолетная;Некрасовка;
Салет;developer;https://lyubertsy.cian.ru/sale/flat/308915101/;Люберцы;7;17;1;33,0;5786715;2024;15,6 ;10,4 ;;;Некрасовка;Люберцы 2020 ЖК
1-й ДСК;developer;https://lyubertsy.cian.ru/sale/flat/305886064/;Люберцы;11;25;3;81,0;17210880;2022;47 ;12,2 ;; Рождественская;Люберцы;1-й Лернтовский
CENTURY 21 Перспектива;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/304299048/;Люберцы;12;22;3;96,0;16300000;2021;43,2 ;24,1 ;; Кирова;Жулебино;Twin House
АртеТугув;realtor;https://lyubertsy.cian.ru/sale/flat/299390000/;Люберцы;9;9;1;283,0;5400000;1987;18 ;7 ;;Коольский проспект;Люберцы;
Сергей Сальников;realtor;https://lyubertsy.cian.ru/sale/flat/298298184/;Люберцы;10;17;1;281,0;5600000;2016;22 ;-1,0;; Вертолетная;Некрасовка;
Престиж Group;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/304494398/;Люберцы;3;17;1;37,4;6050000;-1;17 ;9 ;;проезд Некрасовский;Некрасовка;Люберцы
Этажи Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/305872664/;Люберцы;3;3;2;49,3;6500000;1958;-1,0;7,8 ;;;Панки;
ГОРОБМЕН;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308822768/;Люберцы;1;5;2;67,8;6780000;1960;36,1 ;7,7 ;;Хлебозаводской тупик;Люберцы;
Александра Шлейн;realtor;https://lyubertsy.cian.ru/sale/flat/306548085/;Люберцы;5;5;2;45,0;6900000;-1;-1,0;-1,0;Люберцы;Коольская ;;
Вероника Гриценко;realtor;https://lyubertsy.cian.ru/sale/flat/308290447/;Люберцы;23;24;1;25,0;7100000;-1;-1,0;-1,0;; Весенняя;Некрасовка;Люберецкий
Владис;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308260831/;Люберцы;8;9;1;39,0;7599000;2002;19 ;11 ;; Володарского;Ухтокая;
Андрей Машницкий;realtor;https://lyubertsy.cian.ru/sale/flat/304064845/;Люберцы;5;5;2;58,3;7950000;1955;37,7 ;8,6 ;;Октябрьский проспект;Панки;
CENTURY 21 Перспектива;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/307079643/;Люберцы;8;17;2;54,9;8490000;1991;32,5 ;9,2 ;; 3-е Почтовое Отделение;Люберцы;
Салет Плюс Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/305871524/;Люберцы;9;9;2;53,4;8999000;1989;32,1 ;9,5 ;; Митрофанова;Люберцы;
Салет Плюс Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308915625/;Люберцы;9;16;2;48,3;9500000;2016;22,4 ;9,3 ;; Вертолетная;Некрасовка;
ТЕРЕМГРАД;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/306467809/;Люберцы;4;18;2;55,0;9700000;2018;30 ;10 ;; Кава;Некрасовка;Люберцы 2017
Владис;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/304868686/;Люберцы;7;9;3;67,5;10790000;1990;39,1 ;9,8 ;;Октябрьский проспект;Панки;
Елизавета Кондрашова;realtor;https://lyubertsy.cian.ru/sale/flat/308716794/;Люберцы;9;9;3;59,0;10800000;1974;39 ;7 ;; 3-я Красногорская;Ухтокая;
Татьяна Угарова;realtor;https://lyubertsy.cian.ru/sale/flat/308101755/;Люберцы;12;25;1;35,0;11300000;2021;13,5 ;11 ;; 8 Марта;Лухновская;Гоголь парк
Салет Плюс Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308625137/;Люберцы;23;25;2;72,0;12350000;2017;35,3 ;11,4 ;; Юности;Лухновская;Люберецкий
Светлана Портакал;realtor;https://lyubertsy.cian.ru/sale/flat/307337489/;Люберцы;22;25;2;70,1;13500000;2013;30 ;13 ;;Инициативная ;Люберцы;Акадеческий
На Петровке;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/305211766/;Люберцы;11;17;3;97,6;15900000;-1;52,7 ;12,6 ;;Коольский проспект;Люберцы;
Надежда Полозкова;realtor;https://lyubertsy.cian.ru/sale/flat/308380865/;Люберцы;3;25;3;87,0;23900000;2022;40 ;14 ;; Летчика Ларюшина;Котельники;Жулебино парк
Марина Федулова;realtor;https://lobnya.cian.ru/sale/flat/307255280/;Лобня;1;3;2;56,0;6300000;1958;34,5 ;7 ;; 40 лет Октября;Лобня;
